model,version,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,per_class_precision,per_class_recall,per_class_f1,support,roc_auc_ovr,roc_auc_macro,ap_ovr,mAP,pr_auc_ovr,pr_auc_macro,confusion_matrix
logistic,untuned,0.4074074074074074,0.42424242424242425,0.4074074074074074,0.4087719298245614,0.4242424242424242,0.4074074074074074,0.40877192982456134,"[0.5, 0.5, 0.2727272727272727]","[0.5555555555555556, 0.3333333333333333, 0.3333333333333333]","[0.5263157894736842, 0.4, 0.3]","[9, 9, 9]","[0.6172839506172839, 0.5987654320987654, 0.27777777777777773]",0.49794238683127573,"[0.4621509744316762, 0.4176740325759934, 0.2668959013695856]",0.3822403027924184,"[0.40485847619490556, 0.3706366364209501, 0.23419657806385497]",0.3365638968932369,"[[5, 1, 3], [1, 3, 5], [4, 2, 3]]"
logistic,tuned,0.37037037037037035,0.3761904761904762,0.3703703703703704,0.37061403508771934,0.37619047619047624,0.37037037037037035,0.3706140350877193,"[0.5, 0.42857142857142855, 0.2]","[0.5555555555555556, 0.3333333333333333, 0.2222222222222222]","[0.5263157894736842, 0.375, 0.21052631578947367]","[9, 9, 9]","[0.5864197530864197, 0.6358024691358024, 0.3395061728395061]",0.5205761316872427,"[0.43380385047051717, 0.4559251478369125, 0.36050017520605754]",0.41674305783782906,"[0.37763040890233873, 0.40774906828828394, 0.33948213135906635]",0.374953869516563,"[[5, 1, 3], [1, 3, 5], [4, 3, 2]]"
svm,untuned,0.4074074074074074,0.3333333333333333,0.40740740740740744,0.3666666666666667,0.3333333333333333,0.4074074074074074,0.36666666666666664,"[0.45454545454545453, 0.5454545454545454, 0.0]","[0.5555555555555556, 0.6666666666666666, 0.0]","[0.5, 0.6, 0.0]","[9, 9, 9]","[0.7283950617283952, 0.691358024691358, 0.4012345679012346]",0.6069958847736626,"[0.5786562203228869, 0.5275571449484493, 0.29948092031425366]",0.4685647618618633,"[0.5488321137830943, 0.4707530794487317, 0.26741115041553637]",0.4289987812157874,"[[5, 2, 2], [0, 6, 3], [6, 3, 0]]"
svm,tuned,0.5555555555555556,0.5454545454545454,0.5555555555555556,0.5470588235294117,0.5454545454545454,0.5555555555555556,0.5470588235294117,"[0.6363636363636364, 0.625, 0.375]","[0.7777777777777778, 0.5555555555555556, 0.3333333333333333]","[0.7, 0.5882352941176471, 0.35294117647058826]","[9, 9, 9]","[0.8395061728395061, 0.7160493827160495, 0.5308641975308642]",0.6954732510288065,"[0.6931268803817823, 0.6678554551361569, 0.46992143658810326]",0.6103012573686808,"[0.6649496835771345, 0.6533030871395165, 0.4412116554660414]",0.5864881420608975,"[[7, 1, 1], [0, 5, 4], [4, 2, 3]]"
gnb,untuned,0.4074074074074074,0.3898148148148148,0.40740740740740744,0.39789015021213164,0.3898148148148148,0.4074074074074074,0.39789015021213164,"[0.6, 0.4444444444444444, 0.125]","[0.6666666666666666, 0.4444444444444444, 0.1111111111111111]","[0.631578947368421, 0.4444444444444444, 0.11764705882352941]","[9, 9, 9]","[0.7716049382716049, 0.5802469135802469, 0.35802469135802467]",0.5699588477366255,"[0.7004985754985755, 0.42113047770942513, 0.36451395372963996]",0.4953810023125469,"[0.6823909423909424, 0.36514532060870736, 0.34359276477383444]",0.46370967592449475,"[[6, 1, 2], [0, 4, 5], [4, 4, 1]]"
gnb,tuned,0.4444444444444444,0.40404040404040403,0.4444444444444445,0.41988304093567247,0.40404040404040403,0.4444444444444444,0.4198830409356724,"[0.5454545454545454, 0.5, 0.16666666666666666]","[0.6666666666666666, 0.5555555555555556, 0.1111111111111111]","[0.6, 0.5263157894736842, 0.13333333333333333]","[9, 9, 9]","[0.7592592592592593, 0.6049382716049383, 0.30246913580246915]",0.5555555555555556,"[0.6912393162393162, 0.41105900272566936, 0.3486687268151799]",0.48365568192672176,"[0.6730993080993082, 0.365118925626172, 0.3296864744995942]",0.4559682360750248,"[[6, 1, 2], [1, 5, 3], [4, 4, 1]]"
knn,untuned,0.4074074074074074,0.2948717948717949,0.40740740740740744,0.341991341991342,0.2948717948717949,0.4074074074074074,0.34199134199134196,"[0.5, 0.38461538461538464, 0.0]","[0.6666666666666666, 0.5555555555555556, 0.0]","[0.5714285714285714, 0.45454545454545453, 0.0]","[9, 9, 9]","[0.7283950617283951, 0.617283950617284, 0.4444444444444444]",0.5967078189300412,"[0.5118233618233619, 0.39634439634439633, 0.33134920634920634]",0.41317232150565486,"[0.5735754985754985, 0.41029341029341027, 0.2757936507936508]",0.4198875198875198,"[[6, 3, 0], [2, 5, 2], [4, 5, 0]]"
knn,tuned,0.4444444444444444,0.4292929292929293,0.4444444444444445,0.43099415204678354,0.4292929292929293,0.4444444444444444,0.43099415204678365,"[0.5, 0.45454545454545453, 0.3333333333333333]","[0.5555555555555556, 0.5555555555555556, 0.2222222222222222]","[0.5263157894736842, 0.5, 0.26666666666666666]","[9, 9, 9]","[0.6913580246913581, 0.5246913580246914, 0.5308641975308642]",0.5823045267489713,"[0.5173961840628507, 0.35373977873977874, 0.3888888888888889]",0.42000828389717276,"[0.49887766554433216, 0.3306758056758057, 0.4287037037037037]",0.4194190583079472,"[[5, 3, 1], [1, 5, 3], [4, 3, 2]]"
random_forest,untuned,0.4444444444444444,0.37878787878787873,0.4444444444444445,0.4087719298245614,0.3787878787878788,0.4444444444444444,0.4087719298245614,"[0.6363636363636364, 0.5, 0.0]","[0.7777777777777778, 0.5555555555555556, 0.0]","[0.7, 0.5263157894736842, 0.0]","[9, 9, 9]","[0.75, 0.8271604938271605, 0.12654320987654322]",0.5679012345679012,"[0.6249093499093499, 0.7492645755803651, 0.22269881282242748]",0.5322909127707142,"[0.49072627989294654, 0.7480008944921226, 0.20207731140382462]",0.48026816192963123,"[[7, 0, 2], [0, 5, 4], [4, 5, 0]]"
random_forest,tuned,0.4444444444444444,0.4204545454545454,0.4444444444444445,0.4294117647058823,0.4204545454545454,0.4444444444444444,0.4294117647058823,"[0.6363636363636364, 0.5, 0.125]","[0.7777777777777778, 0.4444444444444444, 0.1111111111111111]","[0.7, 0.47058823529411764, 0.11764705882352941]","[9, 9, 9]","[0.7685185185185185, 0.8117283950617283, 0.1790123456790124]",0.5864197530864198,"[0.5915973460091107, 0.7468873718873719, 0.2506909460570788]",0.5297252213178537,"[0.5406509657735148, 0.7315239711978843, 0.2151381963376624]",0.49577104443635384,"[[7, 0, 2], [0, 4, 5], [4, 4, 1]]"
