model,version,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,per_class_precision,per_class_recall,per_class_f1,support,roc_auc_ovr,roc_auc_macro,ap_ovr,mAP,pr_auc_ovr,pr_auc_macro,confusion_matrix
logistic,untuned,0.18518518518518517,0.20634920634920637,0.1851851851851852,0.19351073762838467,0.20634920634920634,0.18518518518518517,0.19351073762838467,"[0.2857142857142857, 0.25, 0.08333333333333333]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111]","[0.25, 0.23529411764705882, 0.09523809523809523]","[9, 9, 9]","[0.5493827160493827, 0.5802469135802469, 0.1234567901234568]",0.4176954732510289,"[0.3708032708032708, 0.38047739005135695, 0.2227383350609895]",0.3246729986385391,"[0.33579661079661083, 0.33987994883359895, 0.1988656109689672]",0.2915140568663923,"[[2, 2, 5], [1, 2, 6], [4, 4, 1]]"
logistic,tuned,0.2222222222222222,0.23665223665223667,0.22222222222222224,0.22777777777777775,0.23665223665223664,0.2222222222222222,0.2277777777777778,"[0.2857142857142857, 0.3333333333333333, 0.09090909090909091]","[0.2222222222222222, 0.3333333333333333, 0.1111111111111111]","[0.25, 0.3333333333333333, 0.1]","[9, 9, 9]","[0.5432098765432098, 0.5185185185185185, 0.17283950617283952]",0.4115226337448559,"[0.3720658970658971, 0.3698959464977772, 0.23685079011165966]",0.326270877891778,"[0.3368017449539189, 0.3242497208839695, 0.20858122657119832]",0.28987756413636223,"[[2, 2, 5], [1, 3, 5], [4, 4, 1]]"
svm,untuned,0.4444444444444444,0.39999999999999997,0.4444444444444445,0.4142857142857143,0.4,0.4444444444444444,0.4142857142857142,"[0.45454545454545453, 0.5454545454545454, 0.2]","[0.5555555555555556, 0.6666666666666666, 0.1111111111111111]","[0.5, 0.6, 0.14285714285714285]","[9, 9, 9]","[0.7222222222222222, 0.6851851851851852, 0.4320987654320988]",0.6131687242798355,"[0.6365828787655414, 0.5189383482861744, 0.3074111382444716]",0.4876441217653958,"[0.6170460067776891, 0.471668026015852, 0.2735460881758611]",0.45408670698980075,"[[5, 2, 2], [1, 6, 2], [5, 3, 1]]"
svm,tuned,0.3333333333333333,0.3,0.3333333333333333,0.3082706766917293,0.3,0.3333333333333333,0.3082706766917293,"[0.2, 0.5, 0.2]","[0.2222222222222222, 0.6666666666666666, 0.1111111111111111]","[0.21052631578947367, 0.5714285714285714, 0.14285714285714285]","[9, 9, 9]","[0.537037037037037, 0.654320987654321, 0.2592592592592592]",0.48353909465020567,"[0.3560322393655727, 0.4958072791406125, 0.26817713151046485]",0.3733388833388833,"[0.3186224577891244, 0.43871589748782736, 0.23007421657576457]",0.3291375239509054,"[[2, 3, 4], [3, 6, 0], [5, 3, 1]]"
gnb,untuned,0.2962962962962963,0.35714285714285715,0.2962962962962963,0.31630434782608696,0.35714285714285715,0.2962962962962963,0.31630434782608696,"[0.42857142857142855, 0.5, 0.14285714285714285]","[0.3333333333333333, 0.3333333333333333, 0.2222222222222222]","[0.375, 0.4, 0.17391304347826086]","[9, 9, 9]","[0.5740740740740741, 0.5987654320987654, 0.26543209876543206]",0.47942386831275713,"[0.5314835563855171, 0.4768118333907807, 0.26293921724666103]",0.4237448690076529,"[0.5119053368563172, 0.41976394138674844, 0.23100973605247396]",0.38755967143184655,"[[3, 0, 6], [0, 3, 6], [4, 3, 2]]"
gnb,tuned,0.2962962962962963,0.35555555555555557,0.2962962962962963,0.3116123642439432,0.35555555555555557,0.2962962962962963,0.3116123642439432,"[0.3, 0.6, 0.16666666666666666]","[0.3333333333333333, 0.3333333333333333, 0.2222222222222222]","[0.3157894736842105, 0.42857142857142855, 0.19047619047619047]","[9, 9, 9]","[0.5555555555555556, 0.6172839506172839, 0.2777777777777778]",0.48353909465020567,"[0.5189436271789213, 0.4647881530234471, 0.26581814659617864]",0.41651664226618235,"[0.49978520390285097, 0.40746903242001287, 0.23346696950815943]",0.3802404019436744,"[[3, 0, 6], [2, 3, 4], [5, 2, 2]]"
knn,untuned,0.4074074074074074,0.2948717948717949,0.40740740740740744,0.341991341991342,0.2948717948717949,0.4074074074074074,0.34199134199134196,"[0.5, 0.38461538461538464, 0.0]","[0.6666666666666666, 0.5555555555555556, 0.0]","[0.5714285714285714, 0.45454545454545453, 0.0]","[9, 9, 9]","[0.7438271604938271, 0.5895061728395061, 0.287037037037037]",0.5401234567901234,"[0.5203703703703704, 0.3807407407407407, 0.30158730158730157]",0.40089947089947087,"[0.5842592592592593, 0.382037037037037, 0.19841269841269843]",0.38823633156966486,"[[6, 3, 0], [2, 5, 2], [4, 5, 0]]"
knn,tuned,0.48148148148148145,0.36130536130536123,0.48148148148148145,0.4121212121212121,0.36130536130536123,0.48148148148148145,0.4121212121212121,"[0.5454545454545454, 0.5384615384615384, 0.0]","[0.6666666666666666, 0.7777777777777778, 0.0]","[0.6, 0.6363636363636364, 0.0]","[9, 9, 9]","[0.7283950617283951, 0.7345679012345679, 0.35185185185185186]",0.6049382716049383,"[0.5033068783068784, 0.5232323232323232, 0.27725669392336055]",0.43459863182085395,"[0.5257071632071633, 0.5853586500645325, 0.24753888087221423]",0.45286823138130333,"[[6, 2, 1], [0, 7, 2], [5, 4, 0]]"
random_forest,untuned,0.4444444444444444,0.38888888888888884,0.4444444444444444,0.41269841269841273,0.3888888888888889,0.4444444444444444,0.4126984126984127,"[0.6666666666666666, 0.5, 0.0]","[0.6666666666666666, 0.6666666666666666, 0.0]","[0.6666666666666666, 0.5714285714285714, 0.0]","[9, 9, 9]","[0.7654320987654321, 0.8055555555555556, 0.20987654320987653]",0.5936213991769548,"[0.5930911680911681, 0.7309449809449811, 0.2583053021778512]",0.5274471504046668,"[0.5324891466558133, 0.7289765789765792, 0.21814676449833717]",0.4932041633769099,"[[6, 0, 3], [0, 6, 3], [3, 6, 0]]"
random_forest,tuned,0.37037037037037035,0.38181818181818183,0.3703703703703704,0.3684210526315789,0.3818181818181818,0.37037037037037035,0.368421052631579,"[0.5, 0.5454545454545454, 0.1]","[0.3333333333333333, 0.6666666666666666, 0.1111111111111111]","[0.4, 0.6, 0.10526315789473684]","[9, 9, 9]","[0.691358024691358, 0.7777777777777778, 0.17901234567901234]",0.5493827160493826,"[0.52502146002146, 0.6386650386650388, 0.2334198952826404]",0.46570213132304633,"[0.4678678728678729, 0.6094559761226428, 0.20888844882136937]",0.4287374326039617,"[[3, 0, 6], [0, 6, 3], [3, 5, 1]]"
