mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0012903213500976562,5.6561342886275684e-05,0.0017989476521809895,6.48715685658929e-05,1,1,uniform,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.1111111111111111,0.43333333333333335,0.0,0.1814814814814815,0.18377238859341155,13
0.0013623237609863281,0.0002001570002806776,0.0014780362447102864,2.6510840474528304e-05,1,1,distance,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'distance'}",0.1111111111111111,0.43333333333333335,0.0,0.1814814814814815,0.18377238859341155,13
0.0012317498524983723,1.71422055689652e-05,0.0017563501993815105,2.1485322632746127e-05,1,2,uniform,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.19047619047619047,0.16666666666666666,0.0,0.11904761904761903,0.08473871628596279,15
0.0012331008911132812,1.7714783874612586e-05,0.0014675458272298176,2.816525323656297e-06,1,2,distance,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'distance'}",0.19047619047619047,0.16666666666666666,0.0,0.11904761904761903,0.08473871628596279,15
0.0012296040852864583,4.194782009250846e-06,0.0017695426940917969,1.9539659584592575e-05,3,1,uniform,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.48888888888888893,0.2222222222222222,0.14814814814814814,0.28641975308641976,0.14632624582744747,7
0.0012249151865641277,5.18830577340109e-06,0.0014699300130208333,3.865682763104537e-06,3,1,distance,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.35555555555555557,0.27777777777777773,0.09523809523809523,0.24285714285714285,0.10910509641007712,10
0.0012107690175374348,4.284169506055054e-06,0.001761039098103841,2.6766902756809242e-05,3,2,uniform,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.35555555555555557,0.13333333333333333,0.16666666666666666,0.21851851851851853,0.09785070232313264,11
0.0012281735738118489,1.664420499110313e-05,0.0014663537343343098,1.8948236471917943e-05,3,2,distance,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.35714285714285715,0.16666666666666666,0.09523809523809523,0.20634920634920637,0.11054276410463587,12
0.0012038548787434895,4.103447800771581e-06,0.0017232100168863933,3.99108871761631e-06,5,1,uniform,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.48888888888888893,0.27777777777777773,0.14814814814814814,0.30493827160493825,0.14042633280796163,4
0.001207907994588216,1.2587858755253685e-05,0.0014446576436360676,3.841096869657698e-06,5,1,distance,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.35714285714285715,0.27777777777777773,0.16666666666666666,0.26719576719576715,0.07812075693245187,8
0.001232147216796875,2.0182664332454974e-05,0.0017571449279785156,1.01954727840415e-05,5,2,uniform,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.48888888888888893,0.35555555555555557,0.16666666666666666,0.3370370370370371,0.13219680220425742,1
0.0012087027231852214,1.0807724544210566e-05,0.0014661153157552083,7.439101170753836e-06,5,2,distance,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.35714285714285715,0.35555555555555557,0.16666666666666666,0.2931216931216931,0.08941955479046831,5
0.0012257893880208333,0.00011441530718156585,0.01215831438700358,0.015341033735744896,7,1,uniform,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",0.14814814814814814,0.4523809523809524,0.3238095238095238,0.3081128747795414,0.12469746959719961,3
0.0014685789744059246,0.0002485904699693063,0.008298079172770182,0.00046327064691138254,7,1,distance,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}",0.14814814814814814,0.38888888888888884,0.3238095238095238,0.28694885361552025,0.1016794237410351,6
0.001295010248819987,0.00016029110379854548,0.006310701370239258,0.0013697320769905338,7,2,uniform,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}",0.16666666666666666,0.4666666666666666,0.3333333333333333,0.3222222222222222,0.12272623352430287,2
0.001474936803181966,0.00011106593021474849,0.009262482325236002,0.0014769943719571432,7,2,distance,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'}",0.16666666666666666,0.3,0.3333333333333333,0.26666666666666666,0.07200822998230956,9
