mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.16343116760253906,0.0005927838039675819,0.010877768198649088,0.00010722340866507322,300,2,sqrt,5,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",0.611111111111111,0.3333333333333333,0.2222222222222222,0.38888888888888884,0.16355112715421938,2
0.05565269788106283,0.00021261504728656142,0.004616260528564453,8.961071534366568e-06,100,3,sqrt,,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__max_depth': None}",0.30158730158730157,0.4444444444444444,0.2222222222222222,0.32275132275132273,0.09194786876710458,7
0.05554533004760742,0.0002860202274238389,0.00461570421854655,3.956184180222586e-05,100,2,sqrt,5,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",0.30158730158730157,0.41904761904761906,0.19047619047619047,0.3037037037037037,0.09332589443534113,13
0.1637114683787028,0.001371530229846573,0.01089946428934733,5.959934634924785e-05,300,1,1.0,,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': None}",0.20634920634920637,0.2222222222222222,0.2857142857142857,0.2380952380952381,0.0342896333249093,17
0.05460198720296224,0.0002044055547120248,0.004630168279012044,4.896289283242105e-05,100,1,sqrt,5,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",0.41269841269841273,0.37777777777777777,0.2222222222222222,0.33756613756613757,0.08279704822018437,5
0.16071478525797525,0.00028069352775836017,0.010767857233683268,8.352011506693328e-05,300,1,sqrt,,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': None}",0.41269841269841273,0.3333333333333333,0.2222222222222222,0.32275132275132273,0.07812075693245187,7
0.05462543169657389,0.00015035681178912462,0.004649162292480469,8.288832583448043e-06,100,1,sqrt,3,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 3}",0.41269841269841273,0.3333333333333333,0.19047619047619047,0.31216931216931215,0.0919478687671046,12
0.1622466246287028,0.00030232468179941464,0.010750373204549154,1.8216108683461495e-05,300,1,1.0,3,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': 3}",0.20634920634920637,0.2222222222222222,0.2857142857142857,0.2380952380952381,0.0342896333249093,17
0.054459333419799805,0.00010010003404729727,0.0046338240305582685,6.677262188679726e-05,100,3,sqrt,2,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__max_depth': 2}",0.30158730158730157,0.4444444444444444,0.2222222222222222,0.32275132275132273,0.09194786876710458,7
0.16036438941955566,0.0004225744509131583,0.01076070467631022,2.1574210194191443e-05,300,1,sqrt,5,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",0.41269841269841273,0.3333333333333333,0.2222222222222222,0.32275132275132273,0.07812075693245187,7
0.054505348205566406,3.2570107196329566e-05,0.0045766035715738935,1.879965730365286e-05,100,2,1.0,2,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 2, 'clf__max_features': 1.0, 'clf__max_depth': 2}",0.20634920634920637,0.2222222222222222,0.2857142857142857,0.2380952380952381,0.0342896333249093,17
0.16106343269348145,0.0011242079101187834,0.01079249382019043,8.920806376395086e-06,300,2,sqrt,2,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 2}",0.611111111111111,0.3333333333333333,0.2857142857142857,0.41005291005291006,0.1434926097600065,1
0.054948886235555015,0.0003312588191819061,0.004703124364217122,7.474598847855856e-05,100,1,1.0,2,"{'clf__n_estimators': 100, 'clf__min_samples_leaf': 1, 'clf__max_features': 1.0, 'clf__max_depth': 2}",0.20634920634920637,0.2222222222222222,0.2857142857142857,0.2380952380952381,0.0342896333249093,17
0.16321873664855957,0.0020256662464052874,0.010812044143676758,3.810572380880665e-05,300,2,sqrt,,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': None}",0.611111111111111,0.3333333333333333,0.2222222222222222,0.38888888888888884,0.16355112715421938,2
0.16812769571940103,0.006590856615763788,0.011161009470621744,0.0003465059153270299,300,2,1.0,5,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 2, 'clf__max_features': 1.0, 'clf__max_depth': 5}",0.38888888888888884,0.2222222222222222,0.2857142857142857,0.2989417989417989,0.06868124331083157,14
0.16571847597757974,0.001850997023287894,0.011298418045043945,0.0005150971833105142,300,1,sqrt,3,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 3}",0.41269841269841273,0.3333333333333333,0.2222222222222222,0.32275132275132273,0.07812075693245187,7
0.16228063901265463,0.0007308979480015417,0.010890801747639975,9.912257005911319e-05,300,3,sqrt,3,"{'clf__n_estimators': 300, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__max_depth': 3}",0.30158730158730157,0.41904761904761906,0.2857142857142857,0.33544973544973544,0.059466756902548656,6
