sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r3,高危,2,1,0,0.22,0.41,0.37
高危_r5,高危,2,1,0,0.16,0.42,0.42
中危_r2,中危,1,2,0,0.12,0.28,0.6
中危_r3,中危,1,1,0,0.3,0.38,0.32
低危_r4,低危,0,0,0,0.39,0.32,0.29
低危_r9,低危,0,0,0,0.41,0.25,0.34
高危_r7,高危,2,1,1,0.18,0.47,0.35
高危_r9,高危,2,1,1,0.37,0.4,0.23
中危_r5,中危,1,1,1,0.08,0.64,0.28
中危_r10,中危,1,1,1,0.05,0.73,0.22
低危_r3,低危,0,0,1,0.57,0.3,0.13
低危_r8,低危,0,1,1,0.19,0.52,0.29
高危_r4,高危,2,1,2,0.18,0.63,0.19
高危_r8,高危,2,0,2,0.6,0.2,0.2
中危_r4,中危,1,1,2,0.19,0.56,0.25
中危_r6,中危,1,1,2,0.04,0.5,0.46
低危_r10,低危,0,0,2,0.53,0.18,0.29
高危_r2,高危,2,1,3,0.33,0.49,0.18
高危_r10,高危,2,1,3,0.32,0.34,0.34
中危_r9,中危,1,2,3,0.22,0.16,0.62
低危_r5,低危,0,0,3,0.58,0.03,0.39
低危_r7,低危,0,2,3,0.36,0.18,0.46
高危_r6,高危,2,0,4,0.42,0.39,0.19
中危_r7,中危,1,2,4,0.13,0.27,0.6
中危_r8,中危,1,1,4,0.08,0.56,0.36
低危_r2,低危,0,0,4,0.42,0.23,0.35
低危_r6,低危,0,0,4,0.59,0.08,0.33
