sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r4,高危,2,1,0,0.17,0.49,0.34
高危_r8,高危,2,0,0,0.67,0.18,0.15
中危_r6,中危,1,2,0,0.13,0.42,0.45
中危_r7,中危,1,1,0,0.22,0.42,0.36
低危_r4,低危,0,0,0,0.37,0.28,0.35
低危_r7,低危,0,2,0,0.28,0.21,0.51
高危_r3,高危,2,1,1,0.31,0.41,0.28
高危_r9,高危,2,0,1,0.45,0.31,0.24
中危_r8,中危,1,2,1,0.08,0.41,0.51
中危_r10,中危,1,1,1,0.12,0.61,0.27
低危_r2,低危,0,0,1,0.45,0.19,0.36
低危_r5,低危,0,0,1,0.54,0.08,0.38
高危_r7,高危,2,1,2,0.35,0.45,0.2
高危_r10,高危,2,0,2,0.44,0.31,0.25
中危_r2,中危,1,2,2,0.3,0.3,0.4
中危_r3,中危,1,1,2,0.23,0.52,0.25
低危_r9,低危,0,0,2,0.43,0.18,0.39
高危_r2,高危,2,0,3,0.53,0.38,0.09
高危_r6,高危,2,1,3,0.34,0.37,0.29
中危_r4,中危,1,1,3,0.19,0.54,0.27
低危_r6,低危,0,0,3,0.54,0.08,0.38
低危_r10,低危,0,0,3,0.46,0.17,0.37
高危_r5,高危,2,1,4,0.18,0.46,0.36
中危_r5,中危,1,1,4,0.11,0.49,0.4
中危_r9,中危,1,2,4,0.27,0.27,0.46
低危_r3,低危,0,0,4,0.54,0.23,0.23
低危_r8,低危,0,2,4,0.09,0.28,0.63
