sample_id,label_name,y_true,y_pred,fold,score_0_低危,score_1_中危,score_2_高危
高危_r4,高危,2,1,0,0.00037604855395329326,0.9832698307132743,0.016354120732770788
高危_r8,高危,2,0,0,0.9992222317938193,6.256077628142572e-14,0.000777768206112211
中危_r6,中危,1,2,0,0.19192578305152108,1.3423231055687305e-18,0.8080742169484765
中危_r7,中危,1,1,0,0.0027084873234927086,0.9711014797928722,0.026190032883632204
低危_r4,低危,0,1,0,0.45286932819692305,0.4702653955607703,0.0768652762423126
低危_r7,低危,0,0,0,0.9999391016413798,7.139462654282631e-65,6.0898358618570914e-05
高危_r3,高危,2,0,1,0.978037646440834,5.028200267340817e-10,0.02196235305635064
高危_r9,高危,2,2,1,5.912982184588285e-20,8.12955220254782e-26,1.0
中危_r8,中危,1,2,1,0.4755144947102161,1.6765195253664755e-24,0.5244855052897809
中危_r10,中危,1,1,1,0.0025118011123050083,0.8087658760847592,0.18872232280293413
低危_r2,低危,0,2,1,0.26195795089246954,0.008963020757536798,0.7290790283499913
低危_r5,低危,0,0,1,0.9937548672704737,4.7884694861738136e-32,0.006245132729527771
高危_r7,高危,2,1,2,0.07734602706800202,0.8749582413573727,0.047695731574622965
高危_r10,高危,2,1,2,0.026152338737449727,0.8863683028899934,0.08747935837255823
中危_r2,中危,1,2,2,0.44778957907655514,0.05655023207559944,0.4956601888478482
中危_r3,中危,1,1,2,0.1028258062827666,0.8618969234881708,0.0352772702290646
低危_r9,低危,0,0,2,0.9955574733490288,1.5864627426173461e-06,0.004440940188224988
高危_r2,高危,2,0,3,0.5500450323941386,0.4499549676058675,1.6760948643437967e-16
高危_r6,高危,2,0,3,0.955927765568103,0.00013639352280193941,0.043935840909096135
中危_r4,中危,1,1,3,0.37634517057781064,0.38604865990239967,0.23760616951978664
低危_r6,低危,0,0,3,0.9999999998189395,2.006555777181546e-21,1.810570302744272e-10
低危_r10,低危,0,0,3,0.8726628662768293,0.0006848337009483983,0.12665230002221906
高危_r5,高危,2,1,4,0.03393734709988713,0.6877712147902745,0.27829143810983425
中危_r5,中危,1,2,4,0.008469140175814013,0.00023745058190624964,0.9912934092422767
中危_r9,中危,1,2,4,0.050099842804690924,5.968009113125051e-10,0.9499001565985103
低危_r3,低危,0,0,4,0.9114812238627621,8.89312484787414e-06,0.088509883012392
低危_r8,低危,0,2,4,2.5619592119266395e-05,1.324266636316637e-09,0.9999743790836181
